LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,7,2,2,2700,86.5,100,6043,95.4
1,7,2,2,2700,86.5,100,6805,94.9
1,7,2,2,2700,86.5,100,7601,94.5
1,7,2,2,2700,86.5,100,8437,93.8
1,7,2,2,2700,86.5,100,9269,93.4
1,7,2,2,2700,86.5,100,10100,93.6
1,8,2,2,2700,86.5,100,0,100
1,8,2,2,2700,86.5,100,541,98.7
1,8,2,2,2700,86.5,100,1007,98.6
1,8,2,2,2700,86.5,100,1697,98.2
1,8,2,2,2700,86.5,100,2379,97.7
1,8,2,2,2700,86.5,100,3141,97.7
1,8,2,2,2700,86.5,100,3829,97.5
1,8,2,2,2700,86.5,100,4544,97.1
1,8,2,2,2700,86.5,100,5210,97.3
1,8,2,2,2700,86.5,100,6043,97
1,8,2,2,2700,86.5,100,6805,96.7
1,8,2,2,2700,86.5,100,7601,96.7
1,8,2,2,2700,86.5,100,8437,96.4
1,8,2,2,2700,86.5,100,9269,96.3
1,8,2,2,2700,86.5,100,10100,96.7
1,9,2,2,2700,86.5,100,0,100
1,9,2,2,2700,86.5,100,541,99.1
1,9,2,2,2700,86.5,100,1007,98.9
1,9,2,2,2700,86.5,100,1697,98.3
1,9,2,2,2700,86.5,100,2379,97.6
1,9,2,2,2700,86.5,100,3141,97.5
1,9,2,2,2700,86.5,100,3829,97.3
1,9,2,2,2700,86.5,100,4544,96.7
1,9,2,2,2700,86.5,100,5210,96.8
1,9,2,2,2700,86.5,100,6043,96.3
1,9,2,2,2700,86.5,100,6805,95.8
1,9,2,2,2700,86.5,100,7601,95.6
1,9,2,2,2700,86.5,100,8437,94.9
1,9,2,2,2700,86.5,100,9269,94.6
1,9,2,2,2700,86.5,100,10100,94.7
1,10,2,2,2700,86.5,100,0,100
1,10,2,2,2700,86.5,100,541,98.9
1,10,2,2,2700,86.5,100,1007,98.8
1,10,2,2,2700,86.5,100,1697,98.4
1,10,2,2,2700,86.5,100,2379,97.7
1,10,2,2,2700,86.5,100,3141,97.7
1,10,2,2,2700,86.5,100,3829,97.5
1,10,2,2,2700,86.5,100,4544,97
1,10,2,2,2700,86.5,100,5210,97.2
1,10,2,2,2700,86.5,100,6043,97.1
1,10,2,2,2700,86.5,100,6805,96.8
1,10,2,2,2700,86.5,100,7601,96.9
1,10,2,2,2700,86.5,100,8437,96.4
1,10,2,2,2700,86.5,100,9269,96.3
1,10,2,2,2700,86.5,100,10100,96.6
1,11,2,2,2700,86.5,100,0,100
1,11,2,2,2700,86.5,100,541,98.4
1,11,2,2,2700,86.5,100,1007,98.2
1,11,2,2,2700,86.5,100,1697,97.8
1,11,2,2,2700,86.5,100,2379,97.4
1,11,2,2,2700,86.5,100,3141,97.1
1,11,2,2,2700,86.5,100,3829,97
1,11,2,2,2700,86.5,100,4544,96.7
1,11,2,2,2700,86.5,100,5210,96.7
1,11,2,2,2700,86.5,100,6043,96.8
1,11,2,2,2700,86.5,100,6805,96.6
1,11,2,2,2700,86.5,100,7601,96.6
1,11,2,2,2700,86.5,100,8437,96.3
1,11,2,2,2700,86.5,100,9269,95.9
1,11,2,2,2700,86.5,100,10100,96
1,12,2,2,2700,86.5,100,0,100
1,12,2,2,2700,86.5,100,541,98.4
